alpha,gamma,epsilon,episodes,rewards
1, 0.99, 0.9, 10000, 4
1, 0.99, 0.9, 50000, 0
1, 0.99, 0.9, 100000, 0
1, 0.99, 0.8, 10000, 10
1, 0.99, 0.8, 50000, 0
1, 0.99, 0.8, 100000, 0
1, 0.99, 0.7, 10000, 0
1, 0.99, 0.7, 50000, 0
1, 0.99, 0.7, 100000, 0
1, 0.99, 0.5, 10000, 0
1, 0.99, 0.5, 50000, 0
1, 0.99, 0.5, 100000, 0
1, 0.95, 0.9, 10000, 0
1, 0.95, 0.9, 50000, 0
1, 0.95, 0.9, 100000, 0
1, 0.95, 0.8, 10000, 15
1, 0.95, 0.8, 50000, 0
1, 0.95, 0.8, 100000, 0
1, 0.95, 0.7, 10000, 14
1, 0.95, 0.7, 50000, 0
1, 0.95, 0.7, 100000, 0
1, 0.95, 0.5, 10000, 12
1, 0.95, 0.5, 50000, 0
1, 0.95, 0.5, 100000, 0
1, 0.9, 0.9, 10000, 27
1, 0.9, 0.9, 50000, 0
1, 0.9, 0.9, 100000, 0
1, 0.9, 0.8, 10000, 17
1, 0.9, 0.8, 50000, 0
1, 0.9, 0.8, 100000, 0
1, 0.9, 0.7, 10000, 11
1, 0.9, 0.7, 50000, 0
1, 0.9, 0.7, 100000, 0
1, 0.9, 0.5, 10000, 64
1, 0.9, 0.5, 50000, 0
1, 0.9, 0.5, 100000, 0
1, 0.85, 0.9, 10000, 0
1, 0.85, 0.9, 50000, 0
1, 0.85, 0.9, 100000, 0
1, 0.85, 0.8, 10000, 0
1, 0.85, 0.8, 50000, 0
1, 0.85, 0.8, 100000, 0
1, 0.85, 0.7, 10000, 8
1, 0.85, 0.7, 50000, 0
1, 0.85, 0.7, 100000, 0
1, 0.85, 0.5, 10000, 0
1, 0.85, 0.5, 50000, 0
1, 0.85, 0.5, 100000, 0
1, 0.8, 0.9, 10000, 3
1, 0.8, 0.9, 50000, 0
1, 0.8, 0.9, 100000, 0
1, 0.8, 0.8, 10000, 21
1, 0.8, 0.8, 50000, 0
1, 0.8, 0.8, 100000, 0
1, 0.8, 0.7, 10000, 6
1, 0.8, 0.7, 50000, 0
1, 0.8, 0.7, 100000, 0
1, 0.8, 0.5, 10000, 0
1, 0.8, 0.5, 50000, 0
1, 0.8, 0.5, 100000, 0
1, 0.75, 0.9, 10000, 23
1, 0.75, 0.9, 50000, 0
1, 0.75, 0.9, 100000, 0
1, 0.75, 0.8, 10000, 0
1, 0.75, 0.8, 50000, 0
1, 0.75, 0.8, 100000, 0
1, 0.75, 0.7, 10000, 6
1, 0.75, 0.7, 50000, 0
1, 0.75, 0.7, 100000, 0
1, 0.75, 0.5, 10000, 16
1, 0.75, 0.5, 50000, 0
1, 0.75, 0.5, 100000, 0
1, 0.5, 0.9, 10000, 16
1, 0.5, 0.9, 50000, 0
1, 0.5, 0.9, 100000, 0
1, 0.5, 0.8, 10000, 0
1, 0.5, 0.8, 50000, 0
1, 0.5, 0.8, 100000, 0
1, 0.5, 0.7, 10000, 0
1, 0.5, 0.7, 50000, 0
1, 0.5, 0.7, 100000, 0
1, 0.5, 0.5, 10000, 0
1, 0.5, 0.5, 50000, 0
1, 0.5, 0.5, 100000, 0
1, 0.3, 0.9, 10000, 10
1, 0.3, 0.9, 50000, 0
1, 0.3, 0.9, 100000, 0
1, 0.3, 0.8, 10000, 0
1, 0.3, 0.8, 50000, 0
1, 0.3, 0.8, 100000, 0
1, 0.3, 0.7, 10000, 5
1, 0.3, 0.7, 50000, 0
1, 0.3, 0.7, 100000, 0
1, 0.3, 0.5, 10000, 0
1, 0.3, 0.5, 50000, 0
1, 0.3, 0.5, 100000, 0
0.95, 0.99, 0.9, 10000, 0
0.95, 0.99, 0.9, 50000, 58
0.95, 0.99, 0.9, 100000, 81
0.95, 0.99, 0.8, 10000, 0
0.95, 0.99, 0.8, 50000, 73
0.95, 0.99, 0.8, 100000, 74
0.95, 0.99, 0.7, 10000, 0
0.95, 0.99, 0.7, 50000, 0
0.95, 0.99, 0.7, 100000, 79
0.95, 0.99, 0.5, 10000, 59
0.95, 0.99, 0.5, 50000, 86
0.95, 0.99, 0.5, 100000, 77
0.95, 0.95, 0.9, 10000, 4
0.95, 0.95, 0.9, 50000, 70
0.95, 0.95, 0.9, 100000, 72
0.95, 0.95, 0.8, 10000, 57
0.95, 0.95, 0.8, 50000, 43
0.95, 0.95, 0.8, 100000, 58
0.95, 0.95, 0.7, 10000, 22
0.95, 0.95, 0.7, 50000, 44
0.95, 0.95, 0.7, 100000, 86
0.95, 0.95, 0.5, 10000, 20
0.95, 0.95, 0.5, 50000, 82
0.95, 0.95, 0.5, 100000, 84
0.95, 0.9, 0.9, 10000, 89
0.95, 0.9, 0.9, 50000, 52
0.95, 0.9, 0.9, 100000, 75
0.95, 0.9, 0.8, 10000, 12
0.95, 0.9, 0.8, 50000, 87
0.95, 0.9, 0.8, 100000, 81
0.95, 0.9, 0.7, 10000, 76
0.95, 0.9, 0.7, 50000, 46
0.95, 0.9, 0.7, 100000, 11
0.95, 0.9, 0.5, 10000, 34
0.95, 0.9, 0.5, 50000, 74
0.95, 0.9, 0.5, 100000, 82
0.95, 0.85, 0.9, 10000, 9
0.95, 0.85, 0.9, 50000, 73
0.95, 0.85, 0.9, 100000, 83
0.95, 0.85, 0.8, 10000, 6
0.95, 0.85, 0.8, 50000, 39
0.95, 0.85, 0.8, 100000, 63
0.95, 0.85, 0.7, 10000, 13
0.95, 0.85, 0.7, 50000, 83
0.95, 0.85, 0.7, 100000, 9
0.95, 0.85, 0.5, 10000, 13
0.95, 0.85, 0.5, 50000, 71
0.95, 0.85, 0.5, 100000, 80
0.95, 0.8, 0.9, 10000, 4
0.95, 0.8, 0.9, 50000, 83
0.95, 0.8, 0.9, 100000, 74
0.95, 0.8, 0.8, 10000, 34
0.95, 0.8, 0.8, 50000, 17
0.95, 0.8, 0.8, 100000, 83
0.95, 0.8, 0.7, 10000, 19
0.95, 0.8, 0.7, 50000, 19
0.95, 0.8, 0.7, 100000, 47
0.95, 0.8, 0.5, 10000, 9
0.95, 0.8, 0.5, 50000, 72
0.95, 0.8, 0.5, 100000, 64
0.95, 0.75, 0.9, 10000, 16
0.95, 0.75, 0.9, 50000, 44
0.95, 0.75, 0.9, 100000, 73
0.95, 0.75, 0.8, 10000, 31
0.95, 0.75, 0.8, 50000, 60
0.95, 0.75, 0.8, 100000, 71
0.95, 0.75, 0.7, 10000, 18
0.95, 0.75, 0.7, 50000, 16
0.95, 0.75, 0.7, 100000, 62
0.95, 0.75, 0.5, 10000, 38
0.95, 0.75, 0.5, 50000, 30
0.95, 0.75, 0.5, 100000, 34
0.95, 0.5, 0.9, 10000, 0
0.95, 0.5, 0.9, 50000, 83
0.95, 0.5, 0.9, 100000, 31
0.95, 0.5, 0.8, 10000, 24
0.95, 0.5, 0.8, 50000, 16
0.95, 0.5, 0.8, 100000, 24
0.95, 0.5, 0.7, 10000, 16
0.95, 0.5, 0.7, 50000, 36
0.95, 0.5, 0.7, 100000, 45
0.95, 0.5, 0.5, 10000, 15
0.95, 0.5, 0.5, 50000, 16
0.95, 0.5, 0.5, 100000, 43
0.95, 0.3, 0.9, 10000, 8
0.95, 0.3, 0.9, 50000, 14
0.95, 0.3, 0.9, 100000, 44
0.95, 0.3, 0.8, 10000, 20
0.95, 0.3, 0.8, 50000, 7
0.95, 0.3, 0.8, 100000, 36
0.95, 0.3, 0.7, 10000, 22
0.95, 0.3, 0.7, 50000, 34
0.95, 0.3, 0.7, 100000, 24
0.95, 0.3, 0.5, 10000, 0
0.95, 0.3, 0.5, 50000, 12
0.95, 0.3, 0.5, 100000, 11
0.9, 0.99, 0.9, 10000, 65
0.9, 0.99, 0.9, 50000, 23
0.9, 0.99, 0.9, 100000, 82
0.9, 0.99, 0.8, 10000, 4
0.9, 0.99, 0.8, 50000, 54
0.9, 0.99, 0.8, 100000, 84
0.9, 0.99, 0.7, 10000, 22
0.9, 0.99, 0.7, 50000, 83
0.9, 0.99, 0.7, 100000, 75
0.9, 0.99, 0.5, 10000, 16
0.9, 0.99, 0.5, 50000, 87
0.9, 0.99, 0.5, 100000, 88
0.9, 0.95, 0.9, 10000, 15
0.9, 0.95, 0.9, 50000, 85
0.9, 0.95, 0.9, 100000, 82
0.9, 0.95, 0.8, 10000, 61
0.9, 0.95, 0.8, 50000, 65
0.9, 0.95, 0.8, 100000, 84
0.9, 0.95, 0.7, 10000, 73
0.9, 0.95, 0.7, 50000, 69
0.9, 0.95, 0.7, 100000, 77
0.9, 0.95, 0.5, 10000, 4
0.9, 0.95, 0.5, 50000, 63
0.9, 0.95, 0.5, 100000, 82
0.9, 0.9, 0.9, 10000, 0
0.9, 0.9, 0.9, 50000, 42
0.9, 0.9, 0.9, 100000, 82
0.9, 0.9, 0.8, 10000, 10
0.9, 0.9, 0.8, 50000, 76
0.9, 0.9, 0.8, 100000, 76
0.9, 0.9, 0.7, 10000, 25
0.9, 0.9, 0.7, 50000, 65
0.9, 0.9, 0.7, 100000, 76
0.9, 0.9, 0.5, 10000, 38
0.9, 0.9, 0.5, 50000, 72
0.9, 0.9, 0.5, 100000, 74
0.9, 0.85, 0.9, 10000, 18
0.9, 0.85, 0.9, 50000, 28
0.9, 0.85, 0.9, 100000, 70
0.9, 0.85, 0.8, 10000, 41
0.9, 0.85, 0.8, 50000, 18
0.9, 0.85, 0.8, 100000, 45
0.9, 0.85, 0.7, 10000, 26
0.9, 0.85, 0.7, 50000, 26
0.9, 0.85, 0.7, 100000, 73
0.9, 0.85, 0.5, 10000, 23
0.9, 0.85, 0.5, 50000, 24
0.9, 0.85, 0.5, 100000, 27
0.9, 0.8, 0.9, 10000, 11
0.9, 0.8, 0.9, 50000, 74
0.9, 0.8, 0.9, 100000, 81
0.9, 0.8, 0.8, 10000, 0
0.9, 0.8, 0.8, 50000, 61
0.9, 0.8, 0.8, 100000, 50
0.9, 0.8, 0.7, 10000, 0
0.9, 0.8, 0.7, 50000, 79
0.9, 0.8, 0.7, 100000, 75
0.9, 0.8, 0.5, 10000, 0
0.9, 0.8, 0.5, 50000, 18
0.9, 0.8, 0.5, 100000, 78
0.9, 0.75, 0.9, 10000, 11
0.9, 0.75, 0.9, 50000, 59
0.9, 0.75, 0.9, 100000, 47
0.9, 0.75, 0.8, 10000, 55
0.9, 0.75, 0.8, 50000, 67
0.9, 0.75, 0.8, 100000, 50
0.9, 0.75, 0.7, 10000, 4
0.9, 0.75, 0.7, 50000, 69
0.9, 0.75, 0.7, 100000, 58
0.9, 0.75, 0.5, 10000, 8
0.9, 0.75, 0.5, 50000, 42
0.9, 0.75, 0.5, 100000, 47
0.9, 0.5, 0.9, 10000, 7
0.9, 0.5, 0.9, 50000, 18
0.9, 0.5, 0.9, 100000, 16
0.9, 0.5, 0.8, 10000, 7
0.9, 0.5, 0.8, 50000, 22
0.9, 0.5, 0.8, 100000, 12
0.9, 0.5, 0.7, 10000, 24
0.9, 0.5, 0.7, 50000, 16
0.9, 0.5, 0.7, 100000, 41
0.9, 0.5, 0.5, 10000, 11
0.9, 0.5, 0.5, 50000, 45
0.9, 0.5, 0.5, 100000, 28
0.9, 0.3, 0.9, 10000, 15
0.9, 0.3, 0.9, 50000, 12
0.9, 0.3, 0.9, 100000, 4
0.9, 0.3, 0.8, 10000, 0
0.9, 0.3, 0.8, 50000, 6
0.9, 0.3, 0.8, 100000, 18
0.9, 0.3, 0.7, 10000, 4
0.9, 0.3, 0.7, 50000, 16
0.9, 0.3, 0.7, 100000, 11
0.9, 0.3, 0.5, 10000, 5
0.9, 0.3, 0.5, 50000, 19
0.9, 0.3, 0.5, 100000, 32
0.85, 0.99, 0.9, 10000, 0
0.85, 0.99, 0.9, 50000, 31
0.85, 0.99, 0.9, 100000, 83
0.85, 0.99, 0.8, 10000, 15
0.85, 0.99, 0.8, 50000, 65
0.85, 0.99, 0.8, 100000, 70
0.85, 0.99, 0.7, 10000, 0
0.85, 0.99, 0.7, 50000, 72
0.85, 0.99, 0.7, 100000, 75
0.85, 0.99, 0.5, 10000, 68
0.85, 0.99, 0.5, 50000, 82
0.85, 0.99, 0.5, 100000, 78
0.85, 0.95, 0.9, 10000, 14
0.85, 0.95, 0.9, 50000, 87
0.85, 0.95, 0.9, 100000, 76
0.85, 0.95, 0.8, 10000, 29
0.85, 0.95, 0.8, 50000, 83
0.85, 0.95, 0.8, 100000, 77
0.85, 0.95, 0.7, 10000, 25
0.85, 0.95, 0.7, 50000, 80
0.85, 0.95, 0.7, 100000, 85
0.85, 0.95, 0.5, 10000, 61
0.85, 0.95, 0.5, 50000, 81
0.85, 0.95, 0.5, 100000, 59
0.85, 0.9, 0.9, 10000, 52
0.85, 0.9, 0.9, 50000, 87
0.85, 0.9, 0.9, 100000, 85
0.85, 0.9, 0.8, 10000, 48
0.85, 0.9, 0.8, 50000, 80
0.85, 0.9, 0.8, 100000, 67
0.85, 0.9, 0.7, 10000, 71
0.85, 0.9, 0.7, 50000, 59
0.85, 0.9, 0.7, 100000, 79
0.85, 0.9, 0.5, 10000, 8
0.85, 0.9, 0.5, 50000, 86
0.85, 0.9, 0.5, 100000, 41
0.85, 0.85, 0.9, 10000, 15
0.85, 0.85, 0.9, 50000, 18
0.85, 0.85, 0.9, 100000, 67
0.85, 0.85, 0.8, 10000, 0
0.85, 0.85, 0.8, 50000, 0
0.85, 0.85, 0.8, 100000, 82
0.85, 0.85, 0.7, 10000, 17
0.85, 0.85, 0.7, 50000, 73
0.85, 0.85, 0.7, 100000, 54
0.85, 0.85, 0.5, 10000, 71
0.85, 0.85, 0.5, 50000, 78
0.85, 0.85, 0.5, 100000, 52
0.85, 0.8, 0.9, 10000, 10
0.85, 0.8, 0.9, 50000, 19
0.85, 0.8, 0.9, 100000, 59
0.85, 0.8, 0.8, 10000, 7
0.85, 0.8, 0.8, 50000, 49
0.85, 0.8, 0.8, 100000, 46
0.85, 0.8, 0.7, 10000, 13
0.85, 0.8, 0.7, 50000, 16
0.85, 0.8, 0.7, 100000, 43
0.85, 0.8, 0.5, 10000, 23
0.85, 0.8, 0.5, 50000, 33
0.85, 0.8, 0.5, 100000, 62
0.85, 0.75, 0.9, 10000, 3
0.85, 0.75, 0.9, 50000, 39
0.85, 0.75, 0.9, 100000, 37
0.85, 0.75, 0.8, 10000, 16
0.85, 0.75, 0.8, 50000, 34
0.85, 0.75, 0.8, 100000, 49
0.85, 0.75, 0.7, 10000, 19
0.85, 0.75, 0.7, 50000, 22
0.85, 0.75, 0.7, 100000, 50
0.85, 0.75, 0.5, 10000, 7
0.85, 0.75, 0.5, 50000, 41
0.85, 0.75, 0.5, 100000, 46
0.85, 0.5, 0.9, 10000, 0
0.85, 0.5, 0.9, 50000, 47
0.85, 0.5, 0.9, 100000, 40
0.85, 0.5, 0.8, 10000, 16
0.85, 0.5, 0.8, 50000, 40
0.85, 0.5, 0.8, 100000, 15
0.85, 0.5, 0.7, 10000, 2
0.85, 0.5, 0.7, 50000, 54
0.85, 0.5, 0.7, 100000, 40
0.85, 0.5, 0.5, 10000, 16
0.85, 0.5, 0.5, 50000, 50
0.85, 0.5, 0.5, 100000, 39
0.85, 0.3, 0.9, 10000, 5
0.85, 0.3, 0.9, 50000, 6
0.85, 0.3, 0.9, 100000, 10
0.85, 0.3, 0.8, 10000, 3
0.85, 0.3, 0.8, 50000, 14
0.85, 0.3, 0.8, 100000, 21
0.85, 0.3, 0.7, 10000, 25
0.85, 0.3, 0.7, 50000, 7
0.85, 0.3, 0.7, 100000, 11
0.85, 0.3, 0.5, 10000, 4
0.85, 0.3, 0.5, 50000, 16
0.85, 0.3, 0.5, 100000, 46
0.8, 0.99, 0.9, 10000, 34
0.8, 0.99, 0.9, 50000, 56
0.8, 0.99, 0.9, 100000, 83
0.8, 0.99, 0.8, 10000, 0
0.8, 0.99, 0.8, 50000, 0
0.8, 0.99, 0.8, 100000, 80
0.8, 0.99, 0.7, 10000, 45
0.8, 0.99, 0.7, 50000, 80
0.8, 0.99, 0.7, 100000, 82
0.8, 0.99, 0.5, 10000, 0
0.8, 0.99, 0.5, 50000, 79
0.8, 0.99, 0.5, 100000, 82
0.8, 0.95, 0.9, 10000, 16
0.8, 0.95, 0.9, 50000, 90
0.8, 0.95, 0.9, 100000, 86
0.8, 0.95, 0.8, 10000, 83
0.8, 0.95, 0.8, 50000, 91
0.8, 0.95, 0.8, 100000, 82
0.8, 0.95, 0.7, 10000, 32
0.8, 0.95, 0.7, 50000, 29
0.8, 0.95, 0.7, 100000, 80
0.8, 0.95, 0.5, 10000, 11
0.8, 0.95, 0.5, 50000, 77
0.8, 0.95, 0.5, 100000, 43
0.8, 0.9, 0.9, 10000, 12
0.8, 0.9, 0.9, 50000, 18
0.8, 0.9, 0.9, 100000, 81
0.8, 0.9, 0.8, 10000, 13
0.8, 0.9, 0.8, 50000, 72
0.8, 0.9, 0.8, 100000, 74
0.8, 0.9, 0.7, 10000, 30
0.8, 0.9, 0.7, 50000, 15
0.8, 0.9, 0.7, 100000, 74
0.8, 0.9, 0.5, 10000, 19
0.8, 0.9, 0.5, 50000, 27
0.8, 0.9, 0.5, 100000, 78
0.8, 0.85, 0.9, 10000, 8
0.8, 0.85, 0.9, 50000, 46
0.8, 0.85, 0.9, 100000, 84
0.8, 0.85, 0.8, 10000, 46
0.8, 0.85, 0.8, 50000, 44
0.8, 0.85, 0.8, 100000, 46
0.8, 0.85, 0.7, 10000, 47
0.8, 0.85, 0.7, 50000, 37
0.8, 0.85, 0.7, 100000, 80
0.8, 0.85, 0.5, 10000, 32
0.8, 0.85, 0.5, 50000, 66
